VideoID,Title,PublishedAt,ChannelName,Views,Likes,Comments,Duration_seconds
2GWf-doE-Gg,الدحيح | تشارلي شابلن,2021-12-07 18:00:01+00:00,New Media Academy Life ,3425728.0,146452.0,5074.0,1716.0
uuy4Qs873mE,الدحيح | الإيدز,2021-12-04 18:00:30+00:00,New Media Academy Life ,5422294.0,191145.0,4788.0,1460.0
o0D338ZgGzA,الدحيح | بنحب نحارب,2021-11-30 18:00:14+00:00,New Media Academy Life ,3074267.0,110097.0,1794.0,1011.0
B6JdDNN0soU,الدحيح | الإنسان يمكنه الفوز على الفهد,2021-11-27 18:00:03+00:00,New Media Academy Life ,3044716.0,199714.0,2566.0,1247.0
dbPotaUWC08,الدحيح | الفيروسات,2021-11-23 18:00:23+00:00,New Media Academy Life ,2497833.0,104180.0,2247.0,1385.0
V_SwWCz5-8E,الدحيح | وجع البنات,2021-11-20 18:00:14+00:00,New Media Academy Life ,3947076.0,179321.0,4113.0,897.0
ul2BmQM1XA4,الدحيح | تاريخ الفلك,2021-11-16 18:00:16+00:00,New Media Academy Life ,4432326.0,132523.0,3768.0,1419.0
YrDrtS4bnhI,الدحيح | نهاية الحرب الباردة,2021-11-09 18:00:11+00:00,New Media Academy Life ,3024258.0,120993.0,2303.0,1093.0
xXvU3Dr554Y,الدحيح | الحرب الباردة,2021-11-06 18:00:27+00:00,New Media Academy Life ,7039199.0,226557.0,3749.0,1645.0
0gxgHRda7Do,الدحيح | فخر العرب,2021-11-02 18:04:24+00:00,New Media Academy Life ,4113614.0,185861.0,3987.0,1297.0
XMrTrxP6ZnQ,الدحيح | الكوانتم كمبيوتر,2021-10-30 18:00:08+00:00,New Media Academy Life ,4171759.0,125662.0,3854.0,1599.0
gJJDkVFQf8s,الدحيح | دولة المخدرات,2021-10-26 18:00:30+00:00,New Media Academy Life ,8083143.0,206655.0,3858.0,1439.0
ch7nwiRd7UA,الدحيح | ماكدونالدز,2021-10-23 18:00:09+00:00,New Media Academy Life ,6285925.0,216748.0,3726.0,1654.0
Za9EEd2bWlY,الدحيح | هندسة السيارات,2021-10-19 18:00:09+00:00,New Media Academy Life ,3191148.0,116919.0,2159.0,1228.0
lR8SHxBFmC0,الدحيح | خناقات المتجوزين,2021-10-16 18:00:30+00:00,New Media Academy Life ,4799823.0,173482.0,5071.0,1356.0
FXBdC9glLn8,الدحيح | محكمة الفيسبوك,2021-10-12 18:00:04+00:00,New Media Academy Life ,2613962.0,114962.0,2476.0,1232.0
